dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cc1,lightgbm,0.0,0.6211500442224651,0.31897061720260916,0.5357600535826335,0.17470316920259163,0.12080536912751678,0.18848167539267016
cc1,lightgbm,0.05,0.6150846296585332,0.31254837876355873,0.5372749975288126,0.1754599486290669,0.11185682326621924,0.1773049645390071
cc1,lightgbm,0.2,0.5850689928261334,0.2865413997416655,0.5485372547720743,0.1789861768313831,0.07829977628635347,0.12867647058823528
cc1,lightgbm,0.5,0.5642670921272451,0.2604824670980138,0.5494402774916688,0.18011256268886788,0.042505592841163314,0.07436399217221135
cc1,logreg,0.0,0.6622993369520604,0.35770909023023634,0.5025634433394554,0.16376353596526982,0.06040268456375839,0.10714285714285714
cc1,logreg,0.05,0.6587355265363695,0.3539282710557212,0.5037907448182247,0.1640988382529034,0.053691275167785234,0.0963855421686747
cc1,logreg,0.2,0.6490586106631058,0.34629587039590676,0.506066834684954,0.16493044003442467,0.03803131991051454,0.07083333333333333
cc1,logreg,0.5,0.6095459826925411,0.29749145056599113,0.5181065648604304,0.169439791041501,0.011185682326621925,0.021691973969631236
cc2,tabfm,0.0,0.8776053479089178,0.7270151694555127,0.310313509796391,0.09324776145799099,0.5085616438356164,0.6123711340206186
cc2,tabfm,0.05,0.8449952655810578,0.6411027687164489,0.36393316477052107,0.11280505817930199,0.5308219178082192,0.575139146567718
cc2,tabfm,0.2,0.7768642837702986,0.5338371182894087,0.4788630574454218,0.15784724567504965,0.5702054794520548,0.4847161572052402
cc2,tabfm,0.5,0.7000657006940034,0.4124166292124728,0.6255394588378478,0.21903523682857087,0.6575342465753424,0.39384615384615385
cc2,sap_rpt,0.0,0.8625097806858387,0.6978023097373485,0.3285630967375605,0.09898875730162837,0.4417808219178082,0.566410537870472
cc2,sap_rpt,0.05,0.8449743575932142,0.6653316379202161,0.34719277799240067,0.10480428014422953,0.4400684931506849,0.5580890336590663
cc2,sap_rpt,0.2,0.8083315142202667,0.5962846630507607,0.39331774682439247,0.12086382833293222,0.4006849315068493,0.5114754098360655
cc2,sap_rpt,0.5,0.744212031094076,0.4755376854503156,0.45271691752054555,0.14197139222891952,0.24315068493150685,0.3527950310559006
cc2,xgboost,0.0,0.859674090537966,0.6948655181732515,0.33030416921439365,0.09871808485180071,0.4845890410958904,0.5853154084798345
cc2,xgboost,0.05,0.8138827621790801,0.5224370194111063,0.4597089787090728,0.13233760024175498,0.4863013698630137,0.5230202578268877
cc2,xgboost,0.2,0.7201320534337294,0.3728014217204778,0.7330545497624362,0.20686446962634636,0.511986301369863,0.42928930366116297
cc2,xgboost,0.5,0.6306210593758504,0.294432843159097,1.01295803903987,0.308147237410878,0.6113013698630136,0.3561097256857855
cc2,lightgbm,0.0,0.8581481617980585,0.6918830780057118,0.33391917746481314,0.09984317424069715,0.4897260273972603,0.5872689938398358
cc2,lightgbm,0.05,0.8439966433820194,0.6567694389618765,0.3527362514132425,0.10588956467165482,0.4571917808219178,0.556830031282586
cc2,lightgbm,0.2,0.7996316650412773,0.5880964296087061,0.3956979161168003,0.11885445701520742,0.4041095890410959,0.5053533190578159
cc2,lightgbm,0.5,0.7159678201260999,0.45326861397360185,0.45624168308519447,0.14070117139784408,0.2636986301369863,0.3627797408716137
cc2,logreg,0.0,0.7740937981946838,0.4598524555277921,0.41537860482840794,0.13108753469321682,0.1917808219178082,0.28426395939086296
cc2,logreg,0.05,0.7666448845595573,0.4509658885904106,0.41927551599074186,0.13236863020321502,0.1815068493150685,0.27640156453715775
cc2,logreg,0.2,0.7429323913635126,0.4085369002174246,0.4341678497938206,0.1374797649623983,0.1232876712328767,0.19889502762430938
cc2,logreg,0.5,0.6955368179034745,0.3537644507365273,0.46033746370363376,0.14626507593600452,0.046232876712328765,0.08359133126934984
cc3,tabfm,0.0,0.8708430913348947,0.7134721333999668,0.39322927256240503,0.12778209464066745,0.5884353741496599,0.6413345690454124
cc3,tabfm,0.05,0.8638429798148769,0.7012779895637121,0.4005337231680471,0.13078224861004847,0.5697278911564626,0.625
cc3,tabfm,0.2,0.8355815768930523,0.6526134941755845,0.4406676959230988,0.14368935395804233,0.5816326530612245,0.6140035906642729
cc3,tabfm,0.5,0.7806055536968887,0.553465166705444,0.5324113212306277,0.17689710508754145,0.46938775510204084,0.5139664804469274
cc3,sap_rpt,0.0,0.861050518568083,0.6973304624435103,0.40609840357430593,0.13190251904491063,0.5612244897959183,0.623229461756374
cc3,sap_rpt,0.05,0.8531844541095126,0.6775544956038748,0.4164907935804728,0.1355844431166174,0.5238095238095238,0.597478176527643
cc3,sap_rpt,0.2,0.831027099364336,0.6375989270411522,0.45260248131475367,0.14683224154911664,0.4489795918367347,0.5387755102040817
cc3,sap_rpt,0.5,0.7853819560611129,0.5603388634098088,0.49513987354488764,0.1632655591102266,0.23639455782312926,0.3470661672908864
cc3,xgboost,0.0,0.854344819895171,0.6886993456442825,0.4179371716830375,0.13678119288221066,0.5527210884353742,0.5996309963099631
cc3,xgboost,0.05,0.8264592394334783,0.6497230572605646,0.4740541659985837,0.14922704910776827,0.4710884353741497,0.5447394296951819
cc3,xgboost,0.2,0.7467648042823688,0.5444096800915585,0.6998208551346408,0.1915763956455793,0.2755102040816326,0.38895558223289317
cc3,xgboost,0.5,0.6549587375933981,0.41385031414901075,1.2393749991034846,0.24885937463534774,0.05272108843537415,0.09597523219814241
cc3,lightgbm,0.0,0.8528995204639234,0.6852777118370063,0.423855794409787,0.13920398307591061,0.5408163265306123,0.5888888888888889
cc3,lightgbm,0.05,0.8415545890487341,0.6606633310711925,0.44843940537807736,0.14528291858691736,0.4608843537414966,0.5414585414585414
cc3,lightgbm,0.2,0.7969097803055647,0.5808603252894363,0.576493496976159,0.17252803977031061,0.2755102040816326,0.38895558223289317
